instance_name,dist,gammas,taus,eps_case,Bank1_start,Bank2_start,hedgeT,closestNE_knownmat,closestNEdist_knownmat,closestNE_fresh1,closestNEdist_fresh1,closestNE_moving1,closestNEdist_moving1
"TG_mu0.6_sigma0.2[0.7, 0.9]--",TG_mu0.6_sigma0.2,"[0.7, 0.9]","[0.3448275862068966, 0.37037037037037035]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.371962017472413e-05,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.430162980169e-05,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.957421031792781e-05
"TG_mu0.6_sigma0.2[0.7, 0.9]--",TG_mu0.6_sigma0.2,"[0.7, 0.9]","[0.3448275862068966, 0.37037037037037035]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.00040709445605022047,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0004678732226613488,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.000386183410962499
"TG_mu0.6_sigma0.2[0.7, 0.9]--",TG_mu0.6_sigma0.2,"[0.7, 0.9]","[0.3448275862068966, 0.37037037037037035]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0032764119450195152,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0025939406206476486,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.003311063238723932
"TG_mu0.6_sigma0.2[0.7, 0.9]--",TG_mu0.6_sigma0.2,"[0.7, 0.9]","[0.3448275862068966, 0.37037037037037035]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0016003190772021943,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.001331904381737298,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.001637681949345091
"TG_mu0.6_sigma0.2[0.7, 0.9]--",TG_mu0.6_sigma0.2,"[0.7, 0.9]","[0.3448275862068966, 0.37037037037037035]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.01649023924322303,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.01572299965089082,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.016622753140804462
"TG_mu0.8_sigma0.3[0.1, 0.7]--",TG_mu0.8_sigma0.3,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",7.058368163989202e-40,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.9635846376060624e-39,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.682918349981723e-40
"TG_mu0.8_sigma0.3[0.1, 0.7]--",TG_mu0.8_sigma0.3,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.427676429899985e-39,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",7.690031300946408e-39,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.5187210636477237e-39
"TG_mu0.8_sigma0.3[0.1, 0.7]--",TG_mu0.8_sigma0.3,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.7638594801416717e-38,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.257538315782709e-39,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.158957427789589e-38
"TG_mu0.8_sigma0.3[0.1, 0.7]--",TG_mu0.8_sigma0.3,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.3410978763397217e-38,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.641585982499309e-39,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.473139706528938e-38
"TG_mu0.8_sigma0.3[0.1, 0.7]--",TG_mu0.8_sigma0.3,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.3582826971752188e-37,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.516345151143241e-38,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.5676590029276999e-37
