instance_name,dist,gammas,taus,eps_case,Bank1_start,Bank2_start,hedgeT,closestNE_knownmat,closestNEdist_knownmat,closestNE_fresh1,closestNEdist_fresh1,closestNE_moving1,closestNEdist_moving1
"TG_mu0.2_sigma0.3[0.1, 0.3]--",TG_mu0.2_sigma0.3,"[0.1, 0.3]","[0.4347826086956522, 0.47619047619047616]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.6613003668357e-09,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.4577481274948463e-08,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.687768597975334e-09
"TG_mu0.1_sigma0.1[0.2, 0.3]+-",TG_mu0.1_sigma0.1,"[0.2, 0.3]","[0.4347826086956522, 0.45454545454545453]",+-,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.3351635937455462,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.335908536656237,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.3391383930306482
"TG_mu0.1_sigma0.1[0.2, 0.3]+-",TG_mu0.1_sigma0.1,"[0.2, 0.3]","[0.4347826086956522, 0.45454545454545453]",+-,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",0.9773385138784842,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",0.9667373487886033,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",0.9794737659173489
"TG_mu0.1_sigma0.1[0.2, 0.3]+-",TG_mu0.1_sigma0.1,"[0.2, 0.3]","[0.4347826086956522, 0.45454545454545453]",+-,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.6186544935002087,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.6197915794674251,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.624127864584537
"TG_mu0.1_sigma0.1[0.2, 0.3]+-",TG_mu0.1_sigma0.1,"[0.2, 0.3]","[0.4347826086956522, 0.45454545454545453]",+-,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.1587405542832379,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.1550026764296386,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.1612339703255965
"TG_mu0.1_sigma0.1[0.2, 0.3]+-",TG_mu0.1_sigma0.1,"[0.2, 0.3]","[0.4347826086956522, 0.45454545454545453]",+-,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.6389345847158667,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.6368718202417196,"(array([0.        , 0.42948324, 0.57051676, 0.        ]), array([0.        , 0.42948324, 0.57051676, 0.        ]))",1.6396302495585788
"TG_mu0.2_sigma0.3[0.1, 0.2]--",TG_mu0.2_sigma0.3,"[0.1, 0.2]","[0.45454545454545453, 0.47619047619047616]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0009267617415409583,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0008643940506403531,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0013285175195323472
"TG_mu0.2_sigma0.3[0.1, 0.2]--",TG_mu0.2_sigma0.3,"[0.1, 0.2]","[0.45454545454545453, 0.47619047619047616]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.004495249469768126,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.004998796772534203,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.004496989256238637
"TG_mu0.2_sigma0.3[0.1, 0.2]--",TG_mu0.2_sigma0.3,"[0.1, 0.2]","[0.45454545454545453, 0.47619047619047616]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.035519233108586484,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.03339422055701842,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.03320679279067218
"TG_mu0.2_sigma0.3[0.1, 0.2]--",TG_mu0.2_sigma0.3,"[0.1, 0.2]","[0.45454545454545453, 0.47619047619047616]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.017529460470012984,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.015826382923392775,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.01650812562928155
"TG_mu0.2_sigma0.3[0.1, 0.2]--",TG_mu0.2_sigma0.3,"[0.1, 0.2]","[0.45454545454545453, 0.47619047619047616]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.16600561995171967,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.15338555037132787,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.16316871269140887
"TG_mu0.6_sigma0.4[0.2, 0.8]--",TG_mu0.6_sigma0.4,"[0.2, 0.8]","[0.35714285714285715, 0.45454545454545453]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.621532587553761e-52,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.1372541703510006e-51,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.526549508939923e-53
"TG_mu0.6_sigma0.4[0.2, 0.8]--",TG_mu0.6_sigma0.4,"[0.2, 0.8]","[0.35714285714285715, 0.45454545454545453]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.2410344648890887e-51,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.158109130918415e-51,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",9.143371668975158e-52
"TG_mu0.6_sigma0.4[0.2, 0.8]--",TG_mu0.6_sigma0.4,"[0.2, 0.8]","[0.35714285714285715, 0.45454545454545453]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.8068048024635067e-50,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.087780513049196e-51,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.643352248867884e-51
"TG_mu0.6_sigma0.4[0.2, 0.8]--",TG_mu0.6_sigma0.4,"[0.2, 0.8]","[0.35714285714285715, 0.45454545454545453]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.726802782295139e-51,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.565733617894604e-51,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.339622685457792e-51
"TG_mu0.6_sigma0.4[0.2, 0.8]--",TG_mu0.6_sigma0.4,"[0.2, 0.8]","[0.35714285714285715, 0.45454545454545453]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.645951665642386e-50,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.1237277386762423e-50,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.794925099783413e-50
"TG_mu0.6_sigma0.1[0.3, 0.7]--",TG_mu0.6_sigma0.1,"[0.3, 0.7]","[0.37037037037037035, 0.4347826086956522]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.445248196966222e-11,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.725522532448435e-11,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.0421445610926866e-11
"TG_mu0.6_sigma0.1[0.3, 0.7]--",TG_mu0.6_sigma0.1,"[0.3, 0.7]","[0.37037037037037035, 0.4347826086956522]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.6472508167087297e-10,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.0766579438324014e-10,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.1442610433304748e-10
"TG_mu0.6_sigma0.1[0.3, 0.7]--",TG_mu0.6_sigma0.1,"[0.3, 0.7]","[0.37037037037037035, 0.4347826086956522]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.1344533747193563e-09,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.4777720586949603e-09,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.1820494441735675e-09
"TG_mu0.6_sigma0.1[0.3, 0.7]--",TG_mu0.6_sigma0.1,"[0.3, 0.7]","[0.37037037037037035, 0.4347826086956522]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.0399163739807374e-09,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.166276216679896e-09,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.914013141400284e-10
"TG_mu0.6_sigma0.1[0.3, 0.7]--",TG_mu0.6_sigma0.1,"[0.3, 0.7]","[0.37037037037037035, 0.4347826086956522]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.0739049797448327e-08,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.895578388316484e-09,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.5202747832381855e-09
"TG_mu0.6_sigma0.3[0.2, 0.7]--",TG_mu0.6_sigma0.3,"[0.2, 0.7]","[0.37037037037037035, 0.45454545454545453]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.702197427272907e-42,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.69012145349091e-42,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.0881300294068315e-42
"TG_mu0.6_sigma0.3[0.2, 0.7]--",TG_mu0.6_sigma0.3,"[0.2, 0.7]","[0.37037037037037035, 0.45454545454545453]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.2226529401148995e-41,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.387627878353471e-41,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.453115536577336e-41
"TG_mu0.6_sigma0.3[0.2, 0.7]--",TG_mu0.6_sigma0.3,"[0.2, 0.7]","[0.37037037037037035, 0.45454545454545453]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.404071109248174e-40,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.3201036281466682e-39,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.159003154994514e-40
"TG_mu0.6_sigma0.3[0.2, 0.7]--",TG_mu0.6_sigma0.3,"[0.2, 0.7]","[0.37037037037037035, 0.45454545454545453]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.648597168478169e-40,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.3593684212792186e-40,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.1591404251619462e-40
"TG_mu0.6_sigma0.3[0.2, 0.7]--",TG_mu0.6_sigma0.3,"[0.2, 0.7]","[0.37037037037037035, 0.45454545454545453]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.655639061867984e-39,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.5534081375948254e-39,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.0390928511813056e-39
"TG_mu0.8_sigma0.4[0.2, 0.7]--",TG_mu0.8_sigma0.4,"[0.2, 0.7]","[0.37037037037037035, 0.45454545454545453]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.458144702104847e-32,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.5341869118038145e-31,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.1014710971570645e-31
"TG_mu0.8_sigma0.4[0.2, 0.7]--",TG_mu0.8_sigma0.4,"[0.2, 0.7]","[0.37037037037037035, 0.45454545454545453]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.1085268641981765e-31,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.99751898261195e-32,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.411396336004048e-31
"TG_mu0.8_sigma0.4[0.2, 0.7]--",TG_mu0.8_sigma0.4,"[0.2, 0.7]","[0.37037037037037035, 0.45454545454545453]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.312300646783827e-30,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.834625988173654e-30,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",7.038236234167463e-30
"TG_mu0.8_sigma0.4[0.2, 0.7]--",TG_mu0.8_sigma0.4,"[0.2, 0.7]","[0.37037037037037035, 0.45454545454545453]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.6095837339234933e-30,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.593140468345845e-31,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.462310055992581e-30
"TG_mu0.8_sigma0.4[0.2, 0.7]--",TG_mu0.8_sigma0.4,"[0.2, 0.7]","[0.37037037037037035, 0.45454545454545453]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.642364596070486e-29,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.568116027040565e-29,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.9985495013423295e-29
"TG_mu0.6_sigma0.4[0.2, 0.3]--",TG_mu0.6_sigma0.4,"[0.2, 0.3]","[0.4347826086956522, 0.45454545454545453]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0022752469111679695,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.001904594504550397,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.0024924613734960987
"TG_mu0.6_sigma0.4[0.2, 0.3]--",TG_mu0.6_sigma0.4,"[0.2, 0.3]","[0.4347826086956522, 0.45454545454545453]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.011009357904625195,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.012277571259865065,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.011279300761177809
"TG_mu0.6_sigma0.4[0.2, 0.3]--",TG_mu0.6_sigma0.4,"[0.2, 0.3]","[0.4347826086956522, 0.45454545454545453]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.08457990427951702,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.08382855214330778,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.08478579919947235
"TG_mu0.6_sigma0.4[0.2, 0.3]--",TG_mu0.6_sigma0.4,"[0.2, 0.3]","[0.4347826086956522, 0.45454545454545453]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.04258402059285741,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.04732359175041413,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.04064654310412988
"TG_mu0.6_sigma0.4[0.2, 0.3]--",TG_mu0.6_sigma0.4,"[0.2, 0.3]","[0.4347826086956522, 0.45454545454545453]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.3640718768313306,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.36894568288677315,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.3558846662601842
"TG_mu0.1_sigma0.1[0.8, 0.9]--",TG_mu0.1_sigma0.1,"[0.8, 0.9]","[0.3448275862068966, 0.35714285714285715]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.7628882254643661,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.7918870652527656,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.7689667229374864
"TG_mu0.1_sigma0.1[0.8, 0.9]--",TG_mu0.1_sigma0.1,"[0.8, 0.9]","[0.3448275862068966, 0.35714285714285715]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.8709780080697267,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.8415559233946639,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",0.9019324810052489
"TG_mu0.1_sigma0.1[0.8, 0.9]--",TG_mu0.1_sigma0.1,"[0.8, 0.9]","[0.3448275862068966, 0.35714285714285715]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.543288151014734,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.5457290555118641,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.5601914657474962
"TG_mu0.1_sigma0.1[0.8, 0.9]--",TG_mu0.1_sigma0.1,"[0.8, 0.9]","[0.3448275862068966, 0.35714285714285715]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.4280178037392939,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.437705035638086,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.4410421980884065
"TG_mu0.1_sigma0.1[0.8, 0.9]--",TG_mu0.1_sigma0.1,"[0.8, 0.9]","[0.3448275862068966, 0.35714285714285715]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.1026734372443823,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.1007255521934787,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.1096817920229674
"TG_mu0.2_sigma0.3[0.1, 0.7]+-",TG_mu0.2_sigma0.3,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",+-,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",3.876759445318088e-42,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.9595339796007894e-42,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.0483985486799573e-72
"TG_mu0.2_sigma0.3[0.1, 0.7]+-",TG_mu0.2_sigma0.3,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",+-,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.0455442124482282e-72,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.879411395578375e-72,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.1825323946119154e-72
"TG_mu0.2_sigma0.3[0.1, 0.7]+-",TG_mu0.2_sigma0.3,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",+-,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.354171642424499e-72,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.0381615821007287e-71,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.140957482322152e-71
"TG_mu0.2_sigma0.3[0.1, 0.7]+-",TG_mu0.2_sigma0.3,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",+-,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",3.700637413105791e-72,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.027918642903115e-72,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",6.472557181963737e-72
"TG_mu0.2_sigma0.3[0.1, 0.7]+-",TG_mu0.2_sigma0.3,"[0.1, 0.7]","[0.37037037037037035, 0.47619047619047616]",+-,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.975953149586732e-42,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",4.2349591521410457e-42,"(array([0., 1., 0., 0.]), array([0., 1., 0., 0.]))",1.925243317632716e-42
"TG_mu0.2_sigma0.4[0.3, 0.9]--",TG_mu0.2_sigma0.4,"[0.3, 0.9]","[0.3448275862068966, 0.4347826086956522]",--,[0.04872488 0.24038478 0.43185669 0.27903365],[0.02161625 0.02915701 0.15514951 0.79407723],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.983155356444912e-56,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",4.544635339116858e-56,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",5.83305395934256e-57
"TG_mu0.2_sigma0.4[0.3, 0.9]--",TG_mu0.2_sigma0.4,"[0.3, 0.9]","[0.3448275862068966, 0.4347826086956522]",--,[0.30227189 0.0058425  0.3557959  0.33608971],[0.06957095 0.51402032 0.28381321 0.13259552],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.4069063977142166e-55,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.610715434188764e-55,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",2.1956736570827026e-55
"TG_mu0.2_sigma0.4[0.3, 0.9]--",TG_mu0.2_sigma0.4,"[0.3, 0.9]","[0.3448275862068966, 0.4347826086956522]",--,[0.13324052 0.04488414 0.31780489 0.50407045],[0.75894384 0.10475581 0.10678548 0.02951487],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.9397938660855664e-54,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.7252749608830854e-53,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.9523116476841395e-54
"TG_mu0.2_sigma0.4[0.3, 0.9]--",TG_mu0.2_sigma0.4,"[0.3, 0.9]","[0.3448275862068966, 0.4347826086956522]",--,[0.38425003 0.0244683  0.35058422 0.24069745],[0.27066977 0.44269066 0.14074244 0.14589713],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",9.251908745521874e-55,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",9.717531834920005e-55,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.3749154950491363e-54
"TG_mu0.2_sigma0.4[0.3, 0.9]--",TG_mu0.2_sigma0.4,"[0.3, 0.9]","[0.3448275862068966, 0.4347826086956522]",--,[0.51666854 0.24408753 0.1524079  0.08683603],[0.16783577 0.11610728 0.01474925 0.70130771],100000,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",8.58731967792336e-54,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.125742254876252e-53,"(array([0., 0., 1., 0.]), array([0., 0., 1., 0.]))",1.1186131817790534e-53
